enrol_id,dataset,ch_en,ground_truth_transcript,enrol_asr_result,TER
L_R003S01C02_002-F_1039.53_1047.51,AISHELL-4,ch,像那干活儿的 到时候有些人儿在那勤巡逻一点儿 要不那个他底下的扫垃圾的工作人员 他偷懒儿,像这干活儿的到时候有些人儿在那勤巡逻一点儿要不那个他底下这扫垃圾的工作人员他偷懒儿,0.04878048780487805
L_R003S01C02_002-F_1428.31_1443.61,AISHELL-4,ch,像保安晚上多巡视多巡视 晚上就是保安两三个小时就在小区里边儿转一遍儿 还有咱那个那个 影像啥的那个角落检检查一下 看看有没有那个啥坏的,叫保安晚上多巡视多巡视晚上就是保安两三个小时就在小区里边儿转一点儿还有咱那个那个影像啥嘞那个角落检检查一下问他有没有那个啥坏的,0.07936507936507936
L_R003S01C02_002-F_1535.20_1545.64,AISHELL-4,ch,早晨的时候 五六点的时候就有人进去进来每一个楼道里边儿 看看捡那个箱子里边的垃圾 但是会不会偷东西,早晨的时候五六点的时候就有人进去进来每一个楼道里边儿看看捡那个箱子里边儿的垃圾但是会不会偷东西,0.021739130434782608
L_R003S01C02_002-F_1546.88_1559.88,AISHELL-4,ch,但早晨五六点那么早的时候 就业主就反映这个事儿了 就是说那个唉就说早晨一开门一出来就碰到那个人 就在那儿到处乱翻 然后有的业主就反映这个事儿了,到早晨五六点那么早的时候就业主就反映这个事儿了就说那个诶就说早晨一开门儿一出来就碰到那个人就在那儿到处乱翻然后有的业主就反映这个事儿了,0.05970149253731343
L_R003S01C02_002-F_1989.41_1997.01,AISHELL-4,ch,别把那个人家业主给当成那种那个啥了咱那业主不能那个啥吗那说咱嘛,别把那个人家业主给当成那种那个啥了像那业主不是那个啥嘛那说咱嘛,0.0967741935483871
L_R003S01C02_002-F_359.80_365.12,AISHELL-4,ch,那你都进来了 你就没地儿停放了 那就会堵住别人的车了,他你都进来了你就没地儿停放了这就会堵住别人的车了,0.08333333333333333
L_R003S01C02_002-F_365.66_373.20,AISHELL-4,ch,那物业有的也是 那个业主也是难淘的不行 在物业有时候这个问题 这个工作也不是特别好做,现在物业有的也是那个业主也是难淘的不行在物业有时候这个问题这工作也不是特别好做,0.07692307692307693
L_R003S01C02_002-F_423.75_435.72,AISHELL-4,ch,不够 那个他那个意思做工作 做工作就是说他他进来没有别的停车位 就让他去外边儿自己另找车位去放,不够那个还得给业主做工作做工作就是说他他进来没有别的停车位就让他去外边儿自己另找车位去放,0.11363636363636363
L_R003S01C02_002-F_435.82_443.13,AISHELL-4,ch,不能开进来 开起来了 没有地儿放 还会堵别人的车的 这这就是一个很大的一个问题,不能开进来开进来了没有地儿放还会堵别人的车的这这就是一个很大的一个问题,0.02857142857142857
L_R003S01C02_002-F_672.03_686.18,AISHELL-4,ch,没什么意见了 就说说绿化就说说外边儿的绿化 外边儿那个绿化就有的 勤检查一点儿 有的那个花儿浇不到的 有的就去浇完了 那个花干枯的那个就把它剔出来,没什么意见了就说说绿化就说说外边儿的绿化外边儿那个绿化就有的勤检查一点儿有的那个花儿浇不到的有的就去浇完了那个花儿干枯的那个就把它剔出来,0.014925373134328358
L_R003S01C02_002-F_686.23_691.35,AISHELL-4,ch,然后看来年再种上什么样子是吧 把小区的绿化搞好,然后看来年再种成什么样子是吧把小区的绿化搞好,0.045454545454545456
